# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
1.8311e-02 -5.0100e+02 -9.1000e+01 2.3100e+02 1.4100e+02
1.8555e-02 -5.7000e+02 -1.6100e+02 -2.6100e+02 -8.0000e+00
1.8799e-02 -3.8100e+02 -1.0400e+02 2.9600e+02 1.8000e+01
1.9043e-02 -7.0000e+00 -3.0000e+01 1.2600e+02 1.5300e+02
1.9287e-02 -9.2000e+01 -2.2700e+02 -1.0000e+00 4.0000e+01
1.9531e-02 1.2000e+01 -4.8300e+02 2.5300e+02 -1.5400e+02
1.9775e-02 4.0000e+02 -4.2900e+02 -1.7400e+02 -2.1800e+02
2.0020e-02 5.5800e+02 4.1000e+01 -3.4300e+02 -1.3100e+02
2.0264e-02 5.1700e+02 4.8300e+02 7.2000e+01 -2.0000e+02
2.0508e-02 1.7000e+02 4.8100e+02 1.0300e+02 2.7000e+01
2.0752e-02 6.2000e+01 3.3900e+02 -3.9200e+02 2.4300e+02
2.0996e-02 1.0700e+02 1.3100e+02 -3.5600e+02 3.8000e+01
2.1240e-02 -2.7800e+02 2.1000e+01 3.9300e+02 1.0100e+02
2.1484e-02 -5.1100e+02 -1.5400e+02 5.0000e+01 1.1700e+02
2.1729e-02 -5.4300e+02 -1.8600e+02 -1.9600e+02 -4.1000e+01
2.1973e-02 -2.5900e+02 -1.1300e+02 3.5800e+02 5.8000e+01
2.2217e-02 1.5000e+01 -5.0000e+01 1.8000e+01 1.3200e+02
2.2461e-02 -1.1300e+02 -3.0900e+02 6.5000e+01 4.0000e+00
2.2705e-02 8.4000e+01 -5.0200e+02 2.1400e+02 -2.0100e+02
2.2949e-02 4.3200e+02 -3.5600e+02 -2.7100e+02 -1.9000e+02
2.3193e-02 5.0800e+02 2.0100e+02 -2.5600e+02 -1.5300e+02
2.3438e-02 3.8900e+02 5.3100e+02 1.5500e+02 -1.8200e+02
2.3682e-02 5.3000e+01 5.0300e+02 1.2000e+01 9.3000e+01
2.3926e-02 4.9000e+01 3.2400e+02 -4.5400e+02 2.2000e+02
2.4170e-02 2.5000e+01 1.2300e+02 -1.5800e+02 1.3000e+01
2.4414e-02 -3.9400e+02 -9.0000e+00 4.6500e+02 1.3900e+02
2.4658e-02 -5.3400e+02 -1.8600e+02 -8.3000e+01 9.5000e+01
2.4902e-02 -5.0300e+02 -1.7100e+02 -4.0000e+01 -3.7000e+01
